#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
 5286 O            SiH2         SiO          H2                                       8.00E-11  0.00E+00  0.00E+00   7
 5287 X            SiH2         SiX          H2                                       8.00E-11  0.00E+00  0.00E+00   7
 5288 O            SiNC         SiN          CO                                       1.00E-11  0.00E+00  0.00E+00   7
 5289 X            SiNC         SiN          CX                                       1.00E-11  0.00E+00  0.00E+00   7
 5290 O            C2H3         C2H2O        H                                        1.60E-10  0.00E+00  0.00E+00   7
 5291 X            C2H3         C2H2X        H                                        1.60E-10  0.00E+00  0.00E+00   7
 5292 O            C2H5         C2H4O        H                                        1.33E-10  0.00E+00  0.00E+00   7
 5293 X            C2H5         C2H4X        H                                        1.33E-10  0.00E+00  0.00E+00   7
 5294 O            C2H5         H2CO         CH3                                      2.65E-11  0.00E+00  0.00E+00   7
 5295 X            C2H5         H2CX         CH3                                      2.65E-11  0.00E+00  0.00E+00   7
 5296 O            C3H          C2H          CO                                       1.70E-11  0.00E+00  0.00E+00   7
 5297 X            C3H          C2H          CX                                       1.70E-11  0.00E+00  0.00E+00   7
 5298 O            HC3          C2H          CO                                       1.70E-11  0.00E+00  0.00E+00   7
 5299 X            HC3          C2H          CX                                       1.70E-11  0.00E+00  0.00E+00   7
 5300 O            C3N          CO           C2N                                      4.00E-11  0.00E+00  0.00E+00   7
 5301 X            C3N          CX           C2N                                      4.00E-11  0.00E+00  0.00E+00   7
 5302 O            C3O          CCO          CO                                       5.00E-12  0.00E+00  9.00E+02   7
 5303 X            C3O          CCX          CO                                       2.50E-12  0.00E+00  9.00E+02   7
 5304 X            C3O          CCO          CX                                       2.50E-12  0.00E+00  9.00E+02   7
 5305 O            C3X          CCX          CO                                       2.50E-12  0.00E+00  9.00E+02   7
 5306 O            C3X          CCO          CX                                       2.50E-12  0.00E+00  9.00E+02   7
 5307 O            C3P          CCP          CO                                       4.00E-11  0.00E+00  0.00E+00   7
 5308 X            C3P          CCP          CX                                       4.00E-11  0.00E+00  0.00E+00   7
 5309 O            C4           CO           C3                                       5.00E-11  0.00E+00  0.00E+00   7
 5310 X            C4           CX           C3                                       5.00E-11  0.00E+00  0.00E+00   7
 5311 O            CH3          H2CO         H                                        1.40E-10  0.00E+00  0.00E+00   7
 5312 X            CH3          H2CX         H                                        1.40E-10  0.00E+00  0.00E+00   7
 5313 O            H2CN         OCN          H2                                       1.00E-10  0.00E+00  0.00E+00   7
 5314 X            H2CN         XCN          H2                                       1.00E-10  0.00E+00  0.00E+00   7
 5315 O            HCCP         HCP          CO                                       4.00E-11  0.00E+00  0.00E+00   7
 5316 X            HCCP         HCP          CX                                       4.00E-11  0.00E+00  0.00E+00   7
 5317 O            SiC3         SiC2         CO                                       4.00E-11  0.00E+00  0.00E+00   7
 5318 X            SiC3         SiC2         CX                                       4.00E-11  0.00E+00  0.00E+00   7
 5319 O            SiH3         H2SiO        H                                        1.40E-10  0.00E+00  0.00E+00   7
 5320 X            SiH3         H2SiX        H                                        1.40E-10  0.00E+00  0.00E+00   7
 5321 O            H2C3         C2H2         CO                                       1.00E-10  0.00E+00  0.00E+00   7
 5322 X            H2C3         C2H2         CX                                       1.00E-10  0.00E+00  0.00E+00   7
 5323 O            C5           CO           C4                                       5.00E-12  0.00E+00  9.00E+02   7
 5324 X            C5           CX           C4                                       5.00E-12  0.00E+00  9.00E+02   7
 5325 O            C4H          C3H          CO                                       8.50E-12  0.00E+00  0.00E+00   7
 5326 X            C4H          C3H          CX                                       8.50E-12  0.00E+00  0.00E+00   7
 5327 O            C4H          HC3          CO                                       8.50E-12  0.00E+00  0.00E+00   7
 5328 X            C4H          HC3          CX                                       8.50E-12  0.00E+00  0.00E+00   7
 5329 O            C4N          C3N          CO                                       6.00E-12  0.00E+00  0.00E+00   7
 5330 X            C4N          C3N          CX                                       6.00E-12  0.00E+00  0.00E+00   7
 5331 O            C4P          C3P          CO                                       1.00E-11  0.00E+00  0.00E+00   7
 5332 X            C4P          C3P          CX                                       1.00E-11  0.00E+00  0.00E+00   7
 5333 O            CH2PH        PH2          CO           H                           4.00E-11  0.00E+00  0.00E+00   7
 5334 X            CH2PH        PH2          CX           H                           4.00E-11  0.00E+00  0.00E+00   7
 5335 O            SiC4         SiC3         CO                                       4.00E-11  0.00E+00  0.00E+00   7
 5336 X            SiC4         SiC3         CX                                       4.00E-11  0.00E+00  0.00E+00   7
 5337 O            C5H          CO           C4H                                      1.70E-11  0.00E+00  0.00E+00   7
 5338 X            C5H          CX           C4H                                      1.70E-11  0.00E+00  0.00E+00   7
 5339 O            C5N          C4N          CO                                       4.00E-11  0.00E+00  0.00E+00   7
 5340 X            C5N          C4N          CX                                       4.00E-11  0.00E+00  0.00E+00   7
 5341 O            C6           CO           C5                                       5.00E-11  0.00E+00  0.00E+00   7
 5342 X            C6           CX           C5                                       5.00E-11  0.00E+00  0.00E+00   7
 5343 O            C6H          CO           C5H                                      1.70E-11  0.00E+00  0.00E+00   7
 5344 X            C6H          CX           C5H                                      1.70E-11  0.00E+00  0.00E+00   7
 5345 O            C7           CO           C6                                       5.00E-12  0.00E+00  9.00E+02   7
 5346 X            C7           CX           C6                                       5.00E-12  0.00E+00  9.00E+02   7
 5347 O            C7H          CO           C6H                                      1.70E-11  0.00E+00  0.00E+00   7
 5348 X            C7H          CX           C6H                                      1.70E-11  0.00E+00  0.00E+00   7
 5349 O            C7N          OCN          C6                                       4.00E-11  0.00E+00  0.00E+00   7
 5350 X            C7N          XCN          C6                                       4.00E-11  0.00E+00  0.00E+00   7
 5351 O            C8           CO           C7                                       5.00E-11  0.00E+00  0.00E+00   7
 5352 X            C8           CX           C7                                       5.00E-11  0.00E+00  0.00E+00   7
 5353 O            C8H          CO           C7H                                      1.70E-11  0.00E+00  0.00E+00   7
 5354 X            C8H          CX           C7H                                      1.70E-11  0.00E+00  0.00E+00   7
 5355 O            C9           CO           C8                                       5.00E-12  0.00E+00  9.00E+02   7
 5356 X            C9           CX           C8                                       5.00E-12  0.00E+00  9.00E+02   7
 5357 O            C9H          CO           C8H                                      1.70E-11  0.00E+00  0.00E+00   7
 5358 X            C9H          CX           C8H                                      1.70E-11  0.00E+00  0.00E+00   7
 5359 O            C9N          OCN          C8                                       4.00E-11  0.00E+00  0.00E+00   7
 5360 X            C9N          XCN          C8                                       4.00E-11  0.00E+00  0.00E+00   7
 5361 O            C10          CO           C9                                       5.00E-11  0.00E+00  0.00E+00   7
 5362 X            C10          CX           C9                                       5.00E-11  0.00E+00  0.00E+00   7
 5363 O            C11          CO           C10                                      5.00E-11  0.00E+00  0.00E+00   7
 5364 X            C11          CX           C10                                      5.00E-11  0.00E+00  0.00E+00   7
 5365 S            C2           CS           C                                        1.00E-10  0.00E+00  0.00E+00   7
 5366 S            CH           CS           H                                        5.00E-11  0.00E+00  0.00E+00   7
 5367 S            NH           NS           H                                        1.00E-10  0.00E+00  0.00E+00   7
 5368 S            HS           S2           H                                        4.50E-11  0.00E+00  0.00E+00   7
 5369 S            O2           SO           O                                        2.30E-12  0.00E+00  0.00E+00   7
 5370 S            OX           SX           O                                        1.15E-12  0.00E+00  0.00E+00   7
 5371 S            OX           SO           X                                        1.15E-12  0.00E+00  0.00E+00   7
 5372 S            OH           SO           H                                        6.60E-11  0.00E+00  0.00E+00   7
 5373 S            XH           SX           H                                        6.60E-11  0.00E+00  0.00E+00   7
 5374 S            CH2          HCS          H                                        1.00E-10  0.00E+00  0.00E+00   7
 5375 S            CH2          CS           H2                                       1.00E-10  0.00E+00  0.00E+00   7
 5376 S            CH3          H2CS         H                                        1.40E-10  0.00E+00  0.00E+00   7
 5377 Si           O2           SiO          O                                        1.72E-10 -5.30E-01  1.70E+01   7
 5378 Si           OX           SiX          O                                        8.60E-11 -5.30E-01  1.70E+01   7
 5379 Si           OX           SiO          X                                        8.60E-11 -5.30E-01  1.70E+01   7
 5380 Si           NO           SiO          N                                        9.00E-11 -9.60E-01  2.80E+01   7
 5381 Si           NX           SiX          N                                        9.00E-11 -9.60E-01  2.80E+01   7
 5382 Si           OH           SiO          H                                        1.00E-10  0.00E+00  0.00E+00   7
 5383 Si           XH           SiX          H                                        1.00E-10  0.00E+00  0.00E+00   7
 5384 Si           CH2          HCSi         H                                        1.00E-10  0.00E+00  0.00E+00   7
 5385 Si           CH3          SiCH2        H                                        1.00E-10  0.00E+00  0.00E+00   7
 5386 Si           C2H2         SiC2H        H                                        2.70E-10 -1.10E-01  0.00E+00   7
 5387 Si           C3H4         SiC3H3       H                                        2.70E-10 -1.10E-01  0.00E+00   7
 5388 Si           C4H2         SiC4H        H                                        2.70E-10 -1.10E-01  0.00E+00   7
 5389 Si           C6H2         SiC6H        H                                        2.70E-10 -1.10E-01  0.00E+00   7
 5390 Si           C8H2         SiC8H        H                                        2.70E-10 -1.10E-01  0.00E+00   7
 5391 Si           C2H4         SiC2H3       H                                        2.40E-10 -1.20E-01  0.00E+00   7
 5392 Si           C3H6         SiC3H5       H                                        2.40E-10 -1.20E-01  0.00E+00   7
 5393 F            H2           HF           H                                        1.00E-10  2.30E-01 -2.98E+01   7
 5394 F            CH           HF           C                                        1.60E-10  0.00E+00  0.00E+00   7
 5395 F            OH           HF           O                                        1.60E-10  0.00E+00  0.00E+00   7
 5396 F            XH           HF           X                                        1.60E-10  0.00E+00  0.00E+00   7
 5397 F            H2O          HF           OH                                       1.60E-10  0.00E+00  0.00E+00   7
 5398 F            H2X          HF           XH                                       1.60E-10  0.00E+00  0.00E+00   7
 5399 CH           NO           HCN          O                                        1.20E-11 -1.30E-01  0.00E+00   7
 5400 CH           NX           HCN          X                                        1.20E-11 -1.30E-01  0.00E+00   7
 5401 CH           O2           CO           OH                                       3.80E-11 -4.80E-01  0.00E+00   7
 5402 CH           OX           CX           OH                                       1.90E-11 -4.80E-01  0.00E+00   7
 5403 CH           OX           CO           XH                                       1.90E-11 -4.80E-01  0.00E+00   7
 5404 CH           HNO          NO           CH2                                      1.73E-11  0.00E+00  0.00E+00   7
 5405 CH           HNX          NX           CH2                                      1.73E-11  0.00E+00  0.00E+00   7
 5406 CH           CH4          C2H4         H                                        2.23E-12  0.00E+00  0.00E+00   7
 5407 CH           C2H2         C3H2         H                                        4.20E-10 -2.30E-01  1.60E+01   7
 5408 CH           C3H4         C4H4         H                                        4.20E-10 -2.30E-01  1.60E+01   7
 5409 CH           C4H2         C5H2         H                                        4.20E-10 -2.30E-01  1.60E+01   7
 5410 CH           C6H2         C7H2         H                                        4.20E-10 -2.30E-01  1.60E+01   7
 5411 CH           C2H4         C3H4         H                                        3.45E-10 -5.50E-01  2.96E+01   7
 5412 CH           C3H6         C4H6         H                                        3.45E-10 -5.50E-01  2.96E+01   7
 5413 CH           C3           C4           H                                        4.00E-10  0.00E+00  0.00E+00   7
 5414 CH           C5           C6           H                                        4.00E-10  0.00E+00  0.00E+00   7
 5415 CH           C7           C8           H                                        4.00E-10  0.00E+00  0.00E+00   7
 5416 CH           C9           C10          H                                        4.00E-10  0.00E+00  0.00E+00   7
 5417 CH           C2           C3           H                                        1.00E-10  0.00E+00  0.00E+00   7
 5418 CH           C4           C5           H                                        1.00E-10  0.00E+00  0.00E+00   7
 5419 CH           C6           C7           H                                        1.00E-10  0.00E+00  0.00E+00   7
 5420 CH           C8           C9           H                                        1.00E-10  0.00E+00  0.00E+00   7
 5421 CH           HC3N         HC4N         H                                        3.45E-10 -5.50E-01  2.96E+01   7
 5422 CH           HC5N         HC6N         H                                        3.45E-10 -5.50E-01  2.96E+01   7
 5423 CH           HC7N         HC8N         H                                        3.45E-10 -5.50E-01  2.96E+01   7
 5424 CH           HC9N         HC10N        H                                        3.45E-10 -5.50E-01  2.96E+01   7
 5425 CH           HC11N        HC12N        H                                        3.45E-10 -5.50E-01  2.96E+01   7
 5426 C2           C2H2         C4H          H                                        1.00E-10  0.00E+00  0.00E+00   7
 5427 C2           C2H4         C4H3         H                                        1.00E-10  0.00E+00  0.00E+00   7
 5428 C2           C4H2         C6H          H                                        1.00E-10  0.00E+00  0.00E+00   7
 5429 C2           C6H2         C8H          H                                        1.00E-10  0.00E+00  0.00E+00   7
 5430 CN           NO           N2           CO                                       1.60E-13  0.00E+00  0.00E+00   7
 5431 CN           NX           N2           CX                                       1.60E-13  0.00E+00  0.00E+00   7
 5432 CN           O2           O            OCN                                      2.40E-11 -6.00E-01  0.00E+00   7
 5433 CN           OX           X            OCN                                      1.20E-11 -6.00E-01  0.00E+00   7
 5434 CN           OX           O            XCN                                      1.20E-11 -6.00E-01  0.00E+00   7
 5435 CN           HCO          HCN          CO                                       1.00E-10  0.00E+00  0.00E+00   7
 5436 CN           HCX          HCN          CX                                       1.00E-10  0.00E+00  0.00E+00   7
 5437 CN           OH           OCN          H                                        7.01E-11  0.00E+00  0.00E+00   7
 5438 CN           XH           XCN          H                                        7.01E-11  0.00E+00  0.00E+00   7
 5439 CN           OH           HCN          O                                        1.00E-11  0.00E+00  1.00E+03   7
 5440 CN           XH           HCN          X                                        1.00E-11  0.00E+00  1.00E+03   7
 5441 CN           HNO          NO           HCN                                      3.00E-11  0.00E+00  0.00E+00   7
 5442 CN           HNX          NX           HCN                                      3.00E-11  0.00E+00  0.00E+00   7
 5443 CN           C2H2         HC3N         H                                        2.72E-10 -5.20E-01  1.90E+01   7
 5444 CN           NH3          NH2          HCN                                      1.38E-11 -1.14E+00  0.00E+00   7
 5445 CN           NH3          NH2CN        H                                        1.30E-11 -1.11E+00  0.00E+00   7
 5446 CN           C2H4         C3H3N        H                                        2.67E-10 -6.90E-01  3.10E+01   7
 5447 CN           C4H2         HC5N         H                                        2.72E-10 -5.20E-01  1.90E+01   7
 5448 CN           C6H2         HC7N         H                                        2.72E-10 -5.20E-01  1.90E+01   7
 5449 CN           C8H2         HC9N         H                                        2.72E-10 -5.20E-01  1.90E+01   7
 5450 CN           HC3N         NC4N         H                                        2.70E-10 -5.20E-01  1.90E+01   7
 5451 CN           HC5N         NC6N         H                                        2.70E-10 -5.20E-01  1.90E+01   7
 5452 CN           HC7N         NC8N         H                                        2.70E-10 -5.20E-01  1.90E+01   7
 5453 CN           HC9N         NC10N        H                                        2.70E-10 -5.20E-01  1.90E+01   7
 5454 CN           HC11N        NC12N        H                                        2.70E-10 -5.20E-01  1.90E+01   7
 5455 CO           OH           CO2          H                                        2.81E-13  0.00E+00  1.76E+02   7
 5456 CX           OH           COX          H                                        2.81E-13  0.00E+00  1.76E+02   7
 5457 CO           XH           COX          H                                        2.81E-13  0.00E+00  1.76E+02   7
 5458 CO           HNO          NH           CO2                                      3.32E-12  0.00E+00  6.17E+03   7
 5459 CX           HNO          NH           COX                                      3.32E-12  0.00E+00  6.17E+03   7
 5460 CO           HNX          NH           COX                                      3.32E-12  0.00E+00  6.17E+03   7
 5461 HS           HS           H2S          S                                        3.00E-11  0.00E+00  0.00E+00   7
 5462 NH           NH           N2           H            H                           1.00E-10  0.00E+00  0.00E+00   7
 5463 NH           NO           N2O          H                                        3.12E-11  0.00E+00  0.00E+00   7
 5464 NH           NX           N2X          H                                        3.12E-11  0.00E+00  0.00E+00   7
 5465 NO           NH2          N2           H2O                                      1.70E-11  0.00E+00  0.00E+00   7
 5466 NX           NH2          N2           H2X                                      1.70E-11  0.00E+00  0.00E+00   7
 5467 OH           SiO          SiO2         H                                        2.00E-12  0.00E+00  0.00E+00   7
 5468 XH           SiO          SiOX         H                                        2.00E-12  0.00E+00  0.00E+00   7
 5469 OH           SiX          SiOX         H                                        2.00E-12  0.00E+00  0.00E+00   7
 5470 OH           SO           SO2          H                                        8.60E-11  0.00E+00  0.00E+00   7
 5471 XH           SO           SOX          H                                        8.60E-11  0.00E+00  0.00E+00   7
 5472 OH           SX           SOX          H                                        8.60E-11  0.00E+00  0.00E+00   7
 5473 OH           OH           H2O          O                                        1.65E-12  1.14E+00  5.00E+01   7
 5474 XH           OH           H2X          O                                        8.25E-13  1.14E+00  5.00E+01   7
 5475 XH           OH           H2O          X                                        8.25E-13  1.14E+00  5.00E+01   7
 5476 OH           CH2          H2CO         H                                        3.00E-10  0.00E+00  0.00E+00   7
 5477 XH           CH2          H2CX         H                                        3.00E-10  0.00E+00  0.00E+00   7
 5478 OH           H2S          H2O          HS                                       6.00E-12  0.00E+00  7.50E+01   7
 5479 XH           H2S          H2X          HS                                       6.00E-12  0.00E+00  7.50E+01   7
 5480 OH           HCO          H2O          CO                                       1.69E-10  0.00E+00  0.00E+00   7
 5481 XH           HCO          H2X          CO                                       8.45E-11  0.00E+00  0.00E+00   7
 5482 XH           HCO          H2O          CX                                       8.45E-11  0.00E+00  0.00E+00   7
 5483 OH           HCX          H2X          CO                                       8.45E-11  0.00E+00  0.00E+00   7
 5484 OH           HCX          H2O          CX                                       8.45E-11  0.00E+00  0.00E+00   7
 5485 OH           HNO          H2O          NO                                       8.00E-11  0.00E+00  5.00E+02   7
 5486 XH           HNO          H2X          NO                                       4.00E-11  0.00E+00  5.00E+02   7
 5487 XH           HNO          H2O          NX                                       4.00E-11  0.00E+00  5.00E+02   7
 5488 OH           HNX          H2X          NO                                       4.00E-11  0.00E+00  5.00E+02   7
 5489 OH           HNX          H2O          NX                                       4.00E-11  0.00E+00  5.00E+02   7
 5490 OH           NH2          NH           H2O                                      1.50E-12  0.00E+00  0.00E+00   7
 5491 XH           NH2          NH           H2X                                      1.50E-12  0.00E+00  0.00E+00   7
 5492 OH           NH2          NH3          O                                        9.18E-14  0.00E+00  0.00E+00   7
 5493 XH           NH2          NH3          X                                        9.18E-14  0.00E+00  0.00E+00   7
 5494 OH           O2H          H2O          O2                                       1.20E-10  0.00E+00  0.00E+00   7
 5495 XH           O2H          H2X          O2                                       4.00E-11  0.00E+00  0.00E+00   7
 5496 XH           O2H          H2O          OX                                       8.00E-11  0.00E+00  0.00E+00   7
 5497 OH           OXH          H2X          O2                                       4.00E-11  0.00E+00  0.00E+00   7
 5498 OH           OXH          H2O          OX                                       8.00E-11  0.00E+00  0.00E+00   7
 5499 OH           H2CO         HCO          H2O                                      1.00E-11  0.00E+00  0.00E+00   7
 5500 XH           H2CO         HCX          H2O                                      5.00E-12  0.00E+00  0.00E+00   7
 5501 XH           H2CO         HCO          H2X                                      5.00E-12  0.00E+00  0.00E+00   7
 5502 OH           H2CX         HCX          H2O                                      5.00E-12  0.00E+00  0.00E+00   7
 5503 OH           H2CX         HCO          H2X                                      5.00E-12  0.00E+00  0.00E+00   7
 5504 OH           H2CO         CH2O2        H                                        2.01E-13  0.00E+00  0.00E+00   7
 5505 XH           H2CO         CH2OX        H                                        2.01E-13  0.00E+00  0.00E+00   7
 5506 OH           H2CX         CH2OX        H                                        2.01E-13  0.00E+00  0.00E+00   7
 5507 OH           H2O2         H2O          O2H                                      2.91E-12  0.00E+00  1.60E+02   7
 5508 XH           H2O2         H2X          O2H                                      9.70E-13  0.00E+00  1.60E+02   7
 5509 XH           H2O2         H2O          OXH                                      1.94E-12  0.00E+00  1.60E+02   7
 5510 OH           H2OX         H2X          O2H                                      9.70E-13  0.00E+00  1.60E+02   7
 5511 OH           H2OX         H2O          OXH                                      1.94E-12  0.00E+00  1.60E+02   7
 5512 OH           C2H3         C2H2         H2O                                      1.00E-10  0.00E+00  0.00E+00   7
 5513 XH           C2H3         C2H2         H2X                                      1.00E-10  0.00E+00  0.00E+00   7
 5514 OH           C2H5         C2H4         H2O                                      4.00E-11  0.00E+00  0.00E+00   7
 5515 XH           C2H5         C2H4         H2X                                      4.00E-11  0.00E+00  0.00E+00   7
 5516 C2H          S            C2S          H                                        1.70E-11  0.00E+00  0.00E+00   7
 5517 C2H          CS           C3S          H                                        1.70E-11  0.00E+00  0.00E+00   7
 5518 C2H          O2           HCO          CO                                       4.20E-11 -3.20E-01  0.00E+00   7
 5519 C2H          OX           HCX          CO                                       2.10E-11 -3.20E-01  0.00E+00   7
 5520 C2H          OX           HCO          CX                                       2.10E-11 -3.20E-01  0.00E+00   7
 5521 C2H          HCN          HC3N         H                                        5.30E-12  0.00E+00  7.70E+02   7
 5522 C2H          HNC          HC3N         H                                        5.30E-12  0.00E+00  7.70E+02   7
 5523 C2H          C2H2         C4H2         H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5524 C2H          C3H2         C5H2         H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5525 C2H          H2C3         C5H2         H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5526 C2H          C4H2         C6H2         H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5527 C2H          C5H2         C7H2         H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5528 C2H          C6H2         C8H2         H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5529 C2H          C7H2         C9H2         H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5530 C2H          C3           C5           H                                        2.00E-10 -2.50E-01  0.00E+00   7
 5531 C2H          C5           C7           H                                        2.00E-10 -2.50E-01  0.00E+00   7
 5532 C2H          C7           C9           H                                        2.00E-10 -2.50E-01  0.00E+00   7
 5533 C2H          C9           C11          H                                        2.00E-10 -2.50E-01  0.00E+00   7
 5534 C2H          C2           C4           H                                        1.00E-10  0.00E+00  0.00E+00   7
 5535 C2H          C4           C6           H                                        1.00E-10  0.00E+00  0.00E+00   7
 5536 C2H          C6           C8           H                                        1.00E-10  0.00E+00  0.00E+00   7
 5537 C2H          C8           C10          H                                        1.00E-10  0.00E+00  0.00E+00   7
 5538 C2H          HC3N         HC5N         H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5539 C2H          HC5N         HC7N         H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5540 C2H          HC7N         HC9N         H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5541 C2H          HC9N         HC11N        H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5542 C2H          HC11N        HC13N        H                                        1.06E-10 -2.50E-01  0.00E+00   7
 5543 CH2          HNO          NO           CH3                                      1.70E-11  0.00E+00  0.00E+00   7
 5544 CH2          HNX          NX           CH3                                      1.70E-11  0.00E+00  0.00E+00   7
 5545 HCO          HCO          H2CO         CO                                       5.00E-11  0.00E+00  0.00E+00   7
 5546 HCX          HCO          H2CX         CO                                       2.50E-11  0.00E+00  0.00E+00   7
 5547 HCX          HCO          H2CO         CX                                       2.50E-11  0.00E+00  0.00E+00   7
 5548 HCO          HNO          H2CO         NO                                       1.00E-12  0.00E+00  9.76E+02   7
 5549 HCX          HNO          H2CX         NO                                       5.00E-13  0.00E+00  9.76E+02   7
 5550 HCX          HNO          H2CO         NX                                       5.00E-13  0.00E+00  9.76E+02   7
 5551 HCO          HNX          H2CX         NO                                       5.00E-13  0.00E+00  9.76E+02   7
 5552 HCO          HNX          H2CO         NX                                       5.00E-13  0.00E+00  9.76E+02   7
 5553 HCO          CH3          CH4          CO                                       4.40E-11  0.00E+00  0.00E+00   7
 5554 HCX          CH3          CH4          CX                                       4.40E-11  0.00E+00  0.00E+00   7
 5555 HNO          CH3          CH4          NO                                       3.32E-12  0.00E+00  0.00E+00   7
 5556 HNX          CH3          CH4          NX                                       3.32E-12  0.00E+00  0.00E+00   7
 5557 NH2          H2CO         NH2CHO       H                                        1.00E-10  0.00E+00  0.00E+00   7
 5558 NH2          H2CX         NH2CHX       H                                        1.00E-10  0.00E+00  0.00E+00   7
 5559 C            C            C2                                                    1.00E-17  0.00E+00  0.00E+00   8
 5560 C            H            CH                                                    1.00E-17  0.00E+00  0.00E+00   8
 5561 C            N            CN                                                    1.00E-17  0.00E+00  0.00E+00   8
 5562 C            O            CO                                                    2.10E-19  0.00E+00  0.00E+00   8
 5563 C            X            CX                                                    2.10E-19  0.00E+00  0.00E+00   8
 5564 C            H2           CH2                                                   1.00E-17  0.00E+00  0.00E+00   8
 5565 H            O            OH                                                    9.90E-19 -3.80E-01  0.00E+00   8
 5566 H            X            XH                                                    9.90E-19 -3.80E-01  0.00E+00   8
 5567 O            O            O2                                                    4.90E-20  1.58E+00  0.00E+00   8
 5568 X            O            OX                                                    4.90E-20  1.58E+00  0.00E+00   8
 5569 O            SO           SO2                                                   3.20E-16 -1.60E+00  0.00E+00   8
 5570 X            SO           SOX                                                   3.20E-16 -1.60E+00  0.00E+00   8
 5571 O            SX           SOX                                                   3.20E-16 -1.60E+00  0.00E+00   8
 5572 S            CO           OCS                                                   1.60E-17 -1.50E+00  0.00E+00   8
 5573 S            CX           XCS                                                   1.60E-17 -1.50E+00  0.00E+00   8
 5574 CH           H2           CH3                                                   3.25E-17 -6.00E-01  0.00E+00   8
 5575 CN           C2H          HC3N                                                  1.00E-16  0.00E+00  0.00E+00   8
 5576 CN           CH3          C2H3N                                                 1.00E-16  0.00E+00  0.00E+00   8
 5577 C            C2           C3                                                    3.30E-16 -1.00E+00  0.00E+00   8
 5578 C            C3           C4                                                    3.30E-14 -1.00E+00  0.00E+00   8
 5579 H            OH           H2O                                                   4.00E-18 -2.00E+00  0.00E+00   8
 5580 H            XH           H2X                                                   4.00E-18 -2.00E+00  0.00E+00   8
 5581 OH           OH           H2O2                                                  1.00E-18 -2.00E+00  0.00E+00   8
 5582 XH           OH           H2OX                                                  1.00E-18 -2.00E+00  0.00E+00   8
 5583 C2+          E            C            C                                        8.84E-08 -5.00E-01  0.00E+00   9
 5584 CCl+         E            C            Cl                                       3.00E-07 -5.00E-01  0.00E+00   9
 5585 CF+          E            C            F                                        2.00E-07 -5.00E-01  0.00E+00   9
 5586 CH+          E            C            H                                        7.00E-08 -5.00E-01  0.00E+00   9
 5587 ClO+         E            Cl           O                                        2.00E-07 -5.00E-01  0.00E+00   9
 5588 ClX+         E            Cl           X                                        2.00E-07 -5.00E-01  0.00E+00   9
 5589 CN+          E            C            N                                        3.38E-07 -5.50E-01  0.00E+00   9
 5590 CO+          E            O            C                                        2.75E-07 -5.50E-01  0.00E+00   9
 5591 CX+          E            X            C                                        2.75E-07 -5.50E-01  0.00E+00   9
 5592 CP+          E            P            C                                        1.00E-07 -5.00E-01  0.00E+00   9
 5593 CS+          E            C            S                                        2.00E-07 -5.00E-01  0.00E+00   9
 5594 H2+          E            H            H                                        2.53E-07 -5.00E-01  0.00E+00   9
 5595 HCl+         E            H            Cl                                       3.00E-07 -5.00E-01  0.00E+00   9
 5596 HF+          E            H            F                                        2.00E-07 -5.00E-01  0.00E+00   9
 5597 HeH+         E            H            He                                       3.00E-08 -5.00E-01  0.00E+00   9
 5598 HS+          E            S            H                                        2.00E-07 -5.00E-01  0.00E+00   9
 5599 N2+          E            N            N                                        1.80E-07 -3.90E-01  0.00E+00   9
 5600 NH+          E            N            H                                        1.18E-07 -5.00E-01  0.00E+00   9
 5601 NO+          E            N            O                                        4.10E-07 -1.00E+00  0.00E+00   9
 5602 NX+          E            N            X                                        4.10E-07 -1.00E+00  0.00E+00   9
 5603 NS+          E            N            S                                        2.00E-07 -5.00E-01  0.00E+00   9
 5604 O2+          E            O            O                                        1.95E-07 -7.00E-01  0.00E+00   9
 5605 OX+          E            X            O                                        1.95E-07 -7.00E-01  0.00E+00   9
 5606 OH+          E            O            H                                        6.30E-09 -4.80E-01  0.00E+00   9
 5607 XH+          E            X            H                                        6.30E-09 -4.80E-01  0.00E+00   9
 5608 PH+          E            P            H                                        1.00E-07 -5.00E-01  0.00E+00   9
 5609 PN+          E            P            N                                        1.80E-07 -5.00E-01  0.00E+00   9
 5610 PO+          E            P            O                                        1.80E-07 -5.00E-01  0.00E+00   9
 5611 PX+          E            P            X                                        1.80E-07 -5.00E-01  0.00E+00   9
 5612 S2+          E            S            S                                        2.00E-07 -5.00E-01  0.00E+00   9
 5613 SiC+         E            Si           C                                        2.00E-07 -5.00E-01  0.00E+00   9
 5614 SiH+         E            Si           H                                        2.00E-07 -5.00E-01  0.00E+00   9
