#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
  139 SiOX         CRP          SiO          X                                        9.75E-15  0.00E+00  0.00E+00   1
  140 SO2          CRP          SO           O                                        2.44E-14  0.00E+00  0.00E+00   1
  141 SOX          CRP          SX           O                                        1.22E-14  0.00E+00  0.00E+00   1
  142 SOX          CRP          SO           X                                        1.22E-14  0.00E+00  0.00E+00   1
  143 C2H2         CRP          C2H          H                                        6.69E-14  0.00E+00  0.00E+00   1
  144 C2H2         CRP          C2H2+        E                                        1.70E-14  0.00E+00  0.00E+00   1
  145 C3H          CRP          C3           H                                        6.50E-14  0.00E+00  0.00E+00   1
  146 HC3          CRP          C3           H                                        6.50E-14  0.00E+00  0.00E+00   1
  147 C3N          CRP          C2           CN                                       2.28E-14  0.00E+00  0.00E+00   1
  148 C3O          CRP          C2           CO                                       8.58E-14  0.00E+00  0.00E+00   1
  149 C3X          CRP          C2           CX                                       8.58E-14  0.00E+00  0.00E+00   1
  150 C3P          CRP          CCP          C                                        1.95E-14  0.00E+00  0.00E+00   1
  151 C3S          CRP          C2           CS                                       1.95E-14  0.00E+00  0.00E+00   1
  152 C4           CRP          C3           C                                        1.30E-14  0.00E+00  0.00E+00   1
  153 CH3          CRP          CH2          H                                        6.50E-15  0.00E+00  0.00E+00   1
  154 CH3          CRP          CH3+         E                                        6.50E-15  0.00E+00  0.00E+00   1
  155 H2CO         CRP          CO           H2                                       3.46E-14  0.00E+00  0.00E+00   1
  156 H2CX         CRP          CX           H2                                       3.46E-14  0.00E+00  0.00E+00   1
  157 H2CS         CRP          H2           CS                                       1.95E-14  0.00E+00  0.00E+00   1
  158 H2O2         CRP          OH           OH                                       1.95E-14  0.00E+00  0.00E+00   1
  159 H2OX         CRP          XH           OH                                       1.95E-14  0.00E+00  0.00E+00   1
  160 H2S2         CRP          HS           HS                                       1.95E-14  0.00E+00  0.00E+00   1
  161 H2SiO        CRP          SiO          H2                                       1.95E-14  0.00E+00  0.00E+00   1
  162 H2SiX        CRP          SiX          H2                                       1.95E-14  0.00E+00  0.00E+00   1
  163 HCCP         CRP          CCP          H                                        1.95E-14  0.00E+00  0.00E+00   1
  164 NH3          CRP          NH           H2                                       7.02E-15  0.00E+00  0.00E+00   1
  165 NH3          CRP          NH2          H                                        1.72E-14  0.00E+00  0.00E+00   1
  166 NH3          CRP          NH3+         E                                        7.47E-15  0.00E+00  0.00E+00   1
  167 SiC2H        CRP          SiC2         H                                        1.95E-14  0.00E+00  0.00E+00   1
  168 SiC3         CRP          SiC2         C                                        1.95E-14  0.00E+00  0.00E+00   1
  169 SiCH2        CRP          SiC          H2                                       1.95E-14  0.00E+00  0.00E+00   1
  170 SiH3         CRP          SiH2         H                                        1.95E-14  0.00E+00  0.00E+00   1
  171 C2H2N        CRP          CH2          CN                                       6.50E-14  0.00E+00  0.00E+00   1
  172 C2H2O        CRP          CH2          CO                                       1.19E-14  0.00E+00  0.00E+00   1
  173 C2H2X        CRP          CH2          CX                                       1.19E-14  0.00E+00  0.00E+00   1
  174 C2H2O        CRP          C2H2O+       E                                        1.59E-14  0.00E+00  0.00E+00   1
  175 C2H2X        CRP          C2H2X+       E                                        1.59E-14  0.00E+00  0.00E+00   1
  176 C2H3         CRP          C2H2         H                                        1.95E-14  0.00E+00  0.00E+00   1
  177 C3H2         CRP          C3H          H                                        6.50E-14  0.00E+00  0.00E+00   1
  178 H2C3         CRP          HC3          H                                        6.50E-14  0.00E+00  0.00E+00   1
  179 C4H          CRP          C4           H                                        6.50E-14  0.00E+00  0.00E+00   1
  180 C4N          CRP          C3           CN                                       1.30E-14  0.00E+00  0.00E+00   1
  181 C4P          CRP          C3P          C                                        1.95E-14  0.00E+00  0.00E+00   1
  182 C4S          CRP          C3           CS                                       1.95E-14  0.00E+00  0.00E+00   1
  183 C5           CRP          C4           C                                        1.30E-14  0.00E+00  0.00E+00   1
  184 CH2O2        CRP          HCO          OH                                       3.24E-15  0.00E+00  0.00E+00   1
  185 CH2OX        CRP          HCX          OH                                       1.62E-15  0.00E+00  0.00E+00   1
  186 CH2OX        CRP          HCO          XH                                       1.62E-15  0.00E+00  0.00E+00   1
  187 CH2O2        CRP          CH2O2+       E                                        8.45E-15  0.00E+00  0.00E+00   1
  188 CH2OX        CRP          CH2OX+       E                                        8.45E-15  0.00E+00  0.00E+00   1
  189 CH2PH        CRP          HCP          H2                                       1.95E-14  0.00E+00  0.00E+00   1
  190 CH3N         CRP          HCN          H2                                       6.47E-14  0.00E+00  0.00E+00   1
  191 CH4          CRP          CH2          H2                                       3.04E-14  0.00E+00  0.00E+00   1
  192 HC3N         CRP          C2H          CN                                       2.24E-14  0.00E+00  0.00E+00   1
  193 SiC2H2       CRP          SiC2         H2                                       1.95E-14  0.00E+00  0.00E+00   1
  194 SiC3H        CRP          SiC3         H                                        1.95E-14  0.00E+00  0.00E+00   1
  195 SiC4         CRP          SiC2         C2                                       1.95E-14  0.00E+00  0.00E+00   1
  196 SiCH3        CRP          SiCH2        H                                        1.95E-14  0.00E+00  0.00E+00   1
  197 SiH4         CRP          SiH2         H2                                       1.95E-14  0.00E+00  0.00E+00   1
  198 C2H3N        CRP          CH3          CN                                       6.19E-14  0.00E+00  0.00E+00   1
  199 C2H3N        CRP          C2H3N+       E                                        2.91E-14  0.00E+00  0.00E+00   1
  200 C2H4         CRP          C2H2         H2                                       4.81E-14  0.00E+00  0.00E+00   1
  201 C2H4         CRP          C2H4+        E                                        1.01E-14  0.00E+00  0.00E+00   1
  202 C3H3         CRP          C3H2         H                                        3.25E-14  0.00E+00  0.00E+00   1
  203 C3H3         CRP          H2C3         H                                        3.25E-14  0.00E+00  0.00E+00   1
  204 C4H2         CRP          C2H          C2H                                      2.25E-14  0.00E+00  0.00E+00   1
  205 C4H2         CRP          C4H          H                                        2.25E-14  0.00E+00  0.00E+00   1
  206 C4H2         CRP          C4H2+        E                                        1.46E-14  0.00E+00  0.00E+00   1
  207 C5H          CRP          C5           H                                        6.50E-14  0.00E+00  0.00E+00   1
  208 C5N          CRP          C4           CN                                       2.28E-14  0.00E+00  0.00E+00   1
  209 C6           CRP          C5           C                                        1.30E-14  0.00E+00  0.00E+00   1
  210 CH4O         CRP          CH3          OH                                       1.95E-14  0.00E+00  0.00E+00   1
  211 CH4X         CRP          CH3          XH                                       1.95E-14  0.00E+00  0.00E+00   1
  212 CH4O         CRP          H2CO         H2                                       4.12E-14  0.00E+00  0.00E+00   1
  213 CH4X         CRP          H2CX         H2                                       4.12E-14  0.00E+00  0.00E+00   1
  214 CH4O         CRP          H3CO+        H            E                           1.29E-15  0.00E+00  0.00E+00   1
  215 CH4X         CRP          H3CX+        H            E                           1.29E-15  0.00E+00  0.00E+00   1
  216 CH4O         CRP          CH4O+        E                                        1.87E-14  0.00E+00  0.00E+00   1
  217 CH4X         CRP          CH4X+        E                                        1.87E-14  0.00E+00  0.00E+00   1
  218 C2H4O        CRP          CH3          HCO                                      6.83E-15  0.00E+00  0.00E+00   1
  219 C2H4X        CRP          CH3          HCX                                      6.83E-15  0.00E+00  0.00E+00   1
  220 C2H4O        CRP          CH4          CO                                       6.83E-15  0.00E+00  0.00E+00   1
  221 C2H4X        CRP          CH4          CX                                       6.83E-15  0.00E+00  0.00E+00   1
  222 C2H4O        CRP          C2H4O+       E                                        1.46E-14  0.00E+00  0.00E+00   1
  223 C2H4X        CRP          C2H4X+       E                                        1.46E-14  0.00E+00  0.00E+00   1
  224 C2H5         CRP          C2H4         H                                        1.95E-14  0.00E+00  0.00E+00   1
  225 C3H3N        CRP          C2H3         CN                                       1.95E-14  0.00E+00  0.00E+00   1
  226 C3H4         CRP          C3H3         H                                        4.26E-14  0.00E+00  0.00E+00   1
  227 C3H4         CRP          C3H4+        E                                        6.89E-14  0.00E+00  0.00E+00   1
  228 C5H2         CRP          C5H          H                                        2.28E-14  0.00E+00  0.00E+00   1
  229 C6H          CRP          C6           H                                        6.50E-14  0.00E+00  0.00E+00   1
  230 C7           CRP          C6           C                                        1.30E-14  0.00E+00  0.00E+00   1
  231 CH5N         CRP          HCN          H2           H            H              1.83E-14  0.00E+00  0.00E+00   1
  232 CH5N         CRP          CH5N+        E                                        1.46E-14  0.00E+00  0.00E+00   1
  233 HC5N         CRP          C4H          CN                                       2.28E-14  0.00E+00  0.00E+00   1
  234 C6H2         CRP          C6H          H                                        2.28E-14  0.00E+00  0.00E+00   1
  235 C7H          CRP          C7           H                                        6.50E-14  0.00E+00  0.00E+00   1
  236 C7N          CRP          C6           CN                                       2.28E-14  0.00E+00  0.00E+00   1
  237 C8           CRP          C7           C                                        1.30E-14  0.00E+00  0.00E+00   1
  238 CH3C3N       CRP          CH3          C3N                                      1.95E-14  0.00E+00  0.00E+00   1
  239 HCOOCH3      CRP          H2CO         H2CO                                     1.95E-14  0.00E+00  0.00E+00   1
  240 HCXOCH3      CRP          H2CX         H2CO                                     1.95E-14  0.00E+00  0.00E+00   1
  241 HCOXCH3      CRP          H2CX         H2CO                                     1.95E-14  0.00E+00  0.00E+00   1
  242 C2H5OH       CRP          C2H5OH+      E                                        3.56E-14  0.00E+00  0.00E+00   1
  243 C2H5XH       CRP          C2H5XH+      E                                        3.56E-14  0.00E+00  0.00E+00   1
  244 C7H2         CRP          C7H          H                                        2.28E-14  0.00E+00  0.00E+00   1
  245 C8H          CRP          C8           H                                        6.50E-14  0.00E+00  0.00E+00   1
  246 C9           CRP          C8           C                                        1.30E-14  0.00E+00  0.00E+00   1
  247 CH3C4H       CRP          CH3          C4H                                      1.95E-14  0.00E+00  0.00E+00   1
  248 CH3OCH3      CRP          H2CO         CH4                                      2.24E-14  0.00E+00  0.00E+00   1
  249 CH3XCH3      CRP          H2CX         CH4                                      2.24E-14  0.00E+00  0.00E+00   1
  250 CH3OCH3      CRP          CH3OCH3+     E                                        1.46E-14  0.00E+00  0.00E+00   1
  251 CH3XCH3      CRP          CH3XCH3+     E                                        1.46E-14  0.00E+00  0.00E+00   1
  252 HC7N         CRP          C6H          CN                                       2.28E-14  0.00E+00  0.00E+00   1
  253 C2H6CO       CRP          C2H2O        CH4                                      1.95E-14  0.00E+00  0.00E+00   1
  254 C2H6CX       CRP          C2H2X        CH4                                      1.95E-14  0.00E+00  0.00E+00   1
  255 C8H2         CRP          C8H          H                                        2.28E-14  0.00E+00  0.00E+00   1
  256 C9H          CRP          C9           H                                        6.50E-14  0.00E+00  0.00E+00   1
  257 C9N          CRP          C8           CN                                       2.28E-14  0.00E+00  0.00E+00   1
  258 CH3C5N       CRP          CH3          C5N                                      1.95E-14  0.00E+00  0.00E+00   1
  259 C9H2         CRP          C9H          H                                        2.28E-14  0.00E+00  0.00E+00   1
  260 CH3C6H       CRP          CH3          C6H                                      1.95E-14  0.00E+00  0.00E+00   1
  261 CH3C7N       CRP          CH3          C7N                                      1.95E-14  0.00E+00  0.00E+00   1
  262 HC9N         CRP          C8H          CN                                       2.28E-14  0.00E+00  0.00E+00   1
  263 CH+          CRP          C            H+                                       2.29E-15  0.00E+00  0.00E+00   1
  264 C+           Fe           Fe+          C                                        2.60E-09  0.00E+00  0.00E+00   2
  265 C+           Mg           Mg+          C                                        1.10E-09  0.00E+00  0.00E+00   2
  266 C+           Na           Na+          C                                        1.10E-09  0.00E+00  0.00E+00   2
  267 C+           P            P+           C                                        1.00E-09  0.00E+00  0.00E+00   2
  268 C+           S            S+           C                                        1.50E-09  0.00E+00  0.00E+00   2
  269 C+           Si           Si+          C                                        2.10E-09  0.00E+00  0.00E+00   2
  270 C+           CCl          CCl+         C                                        1.93E-09 -5.00E-01  0.00E+00   2
  271 C+           CH           C2+          H                                        2.70E-09 -5.00E-01  0.00E+00   2
  272 C+           CH           CH+          C                                        2.70E-09 -5.00E-01  0.00E+00   2
  273 C+           ClO          ClO+         C                                        3.65E-09 -5.00E-01  0.00E+00   2
  274 C+           ClX          ClX+         C                                        3.65E-09 -5.00E-01  0.00E+00   2
  275 C+           CP           CP+          C                                        2.58E-09 -5.00E-01  0.00E+00   2
  276 C+           HCl          CCl+         H                                        3.30E-09 -5.00E-01  0.00E+00   2
  277 C+           HF           CF+          H                                        7.20E-09 -1.50E-01  0.00E+00   2
  278 C+           HS           CS+          H                                        2.40E-09 -5.00E-01  0.00E+00   2
  279 C+           MgH          Mg+          CH                                       4.10E-09 -5.00E-01  0.00E+00   2
  280 C+           NaH          Na+          CH                                       2.20E-08 -5.00E-01  0.00E+00   2
  281 C+           NH           CN+          H                                        4.60E-09 -5.00E-01  0.00E+00   2
  282 C+           NO           NO+          C                                        4.80E-10 -5.00E-01  0.00E+00   2
  283 C+           NX           NX+          C                                        4.80E-10 -5.00E-01  0.00E+00   2
  284 C+           NS           CS+          N                                        2.70E-09 -5.00E-01  0.00E+00   2
  285 C+           NS           NS+          C                                        2.70E-09 -5.00E-01  0.00E+00   2
  286 C+           O2           O+           CO                                       4.10E-10  0.00E+00  0.00E+00   2
  287 C+           OX           X+           CO                                       2.05E-10  0.00E+00  0.00E+00   2
  288 C+           OX           O+           CX                                       2.05E-10  0.00E+00  0.00E+00   2
  289 C+           O2           CO+          O                                        7.50E-10  0.00E+00  0.00E+00   2
  290 C+           OX           CX+          O                                        3.75E-10  0.00E+00  0.00E+00   2
  291 C+           OX           CO+          X                                        3.75E-10  0.00E+00  0.00E+00   2
  292 C+           OH           CO+          H                                        2.90E-09 -3.30E-01  0.00E+00   2
  293 C+           XH           CX+          H                                        2.90E-09 -3.30E-01  0.00E+00   2
  294 C+           PH           PH+          C                                        1.99E-09 -5.00E-01  0.00E+00   2
  295 C+           PO           PO+          C                                        5.58E-09 -5.00E-01  0.00E+00   2
  296 C+           PX           PX+          C                                        5.58E-09 -5.00E-01  0.00E+00   2
  297 C+           SiC          Si+          C2                                       2.56E-09 -5.00E-01  0.00E+00   2
  298 C+           SiC          SiC+         C                                        2.56E-09 -5.00E-01  0.00E+00   2
