!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789123456789123456789123456123456123121231212
H2SiO       CRP                     SiO         H2                                   1.95e-14 0.00e+00 0.00e+00              1
HCCP        CRP                     CCP         H                                    1.95e-14 0.00e+00 0.00e+00              1
NH3         CRP                     NH          H2                                   7.02e-15 0.00e+00 0.00e+00              1
NH3         CRP                     NH2         H                                    1.72e-14 0.00e+00 0.00e+00              1
NH3         CRP                     NH3+        E-                                   7.47e-15 0.00e+00 0.00e+00              1
SiC2H       CRP                     SiC2        H                                    1.95e-14 0.00e+00 0.00e+00              1
SiC3        CRP                     SiC2        C                                    1.95e-14 0.00e+00 0.00e+00              1
SiCH2       CRP                     SiC         H2                                   1.95e-14 0.00e+00 0.00e+00              1
SiH3        CRP                     SiH2        H                                    1.95e-14 0.00e+00 0.00e+00              1
C2H2N       CRP                     CH2         CN                                   6.50e-14 0.00e+00 0.00e+00              1
C2H2O       CRP                     CH2         CO                                   1.19e-14 0.00e+00 0.00e+00              1
C2H2O       CRP                     C2H2O+      E-                                   1.59e-14 0.00e+00 0.00e+00              1
C2H3        CRP                     C2H2        H                                    1.95e-14 0.00e+00 0.00e+00              1
C3H2        CRP                     C3H         H                                    6.50e-14 0.00e+00 0.00e+00              1
H2C3        CRP                     HC3         H                                    6.50e-14 0.00e+00 0.00e+00              1
C4H         CRP                     C4          H                                    6.50e-14 0.00e+00 0.00e+00              1
C4N         CRP                     C3          CN                                   1.30e-14 0.00e+00 0.00e+00              1
C4P         CRP                     C3P         C                                    1.95e-14 0.00e+00 0.00e+00              1
C4S         CRP                     C3          CS                                   1.95e-14 0.00e+00 0.00e+00              1
C5          CRP                     C4          C                                    1.30e-14 0.00e+00 0.00e+00              1
CH2O2       CRP                     HCO         OH                                   3.24e-15 0.00e+00 0.00e+00              1
CH2O2       CRP                     CH2O2+      E-                                   8.45e-15 0.00e+00 0.00e+00              1
CH2PH       CRP                     HCP         H2                                   1.95e-14 0.00e+00 0.00e+00              1
CH3N        CRP                     HCN         H2                                   6.47e-14 0.00e+00 0.00e+00              1
CH4         CRP                     CH2         H2                                   3.04e-14 0.00e+00 0.00e+00              1
HC3N        CRP                     C2H         CN                                   2.24e-14 0.00e+00 0.00e+00              1
SiC2H2      CRP                     SiC2        H2                                   1.95e-14 0.00e+00 0.00e+00              1
SiC3H       CRP                     SiC3        H                                    1.95e-14 0.00e+00 0.00e+00              1
SiC4        CRP                     SiC2        C2                                   1.95e-14 0.00e+00 0.00e+00              1
SiCH3       CRP                     SiCH2       H                                    1.95e-14 0.00e+00 0.00e+00              1
SiH4        CRP                     SiH2        H2                                   1.95e-14 0.00e+00 0.00e+00              1
C2H3N       CRP                     CH3         CN                                   6.19e-14 0.00e+00 0.00e+00              1
C2H3N       CRP                     C2H3N+      E-                                   2.91e-14 0.00e+00 0.00e+00              1
C2H4        CRP                     C2H2        H2                                   4.81e-14 0.00e+00 0.00e+00              1
C2H4        CRP                     C2H4+       E-                                   1.01e-14 0.00e+00 0.00e+00              1
C3H3        CRP                     C3H2        H                                    3.25e-14 0.00e+00 0.00e+00              1
C3H3        CRP                     H2C3        H                                    3.25e-14 0.00e+00 0.00e+00              1
C4H2        CRP                     C2H         C2H                                  2.25e-14 0.00e+00 0.00e+00              1
C4H2        CRP                     C4H         H                                    2.25e-14 0.00e+00 0.00e+00              1
C4H2        CRP                     C4H2+       E-                                   1.46e-14 0.00e+00 0.00e+00              1
C5H         CRP                     C5          H                                    6.50e-14 0.00e+00 0.00e+00              1
C5N         CRP                     C4          CN                                   2.28e-14 0.00e+00 0.00e+00              1
C6          CRP                     C5          C                                    1.30e-14 0.00e+00 0.00e+00              1
CH4O        CRP                     CH3         OH                                   1.95e-14 0.00e+00 0.00e+00              1
CH4O        CRP                     H2CO        H2                                   4.12e-14 0.00e+00 0.00e+00              1
CH4O        CRP                     H3CO+       H           E-                       1.29e-15 0.00e+00 0.00e+00              1
CH4O        CRP                     CH4O+       E-                                   1.87e-14 0.00e+00 0.00e+00              1
C2H4O       CRP                     CH3         HCO                                  6.83e-15 0.00e+00 0.00e+00              1
C2H4O       CRP                     CH4         CO                                   6.83e-15 0.00e+00 0.00e+00              1
C2H4O       CRP                     C2H4O+      E-                                   1.46e-14 0.00e+00 0.00e+00              1
C2H5        CRP                     C2H4        H                                    1.95e-14 0.00e+00 0.00e+00              1
C3H3N       CRP                     C2H3        CN                                   1.95e-14 0.00e+00 0.00e+00              1
C3H4        CRP                     C3H3        H                                    4.26e-14 0.00e+00 0.00e+00              1
C3H4        CRP                     C3H4+       E-                                   6.89e-14 0.00e+00 0.00e+00              1
C5H2        CRP                     C5H         H                                    2.28e-14 0.00e+00 0.00e+00              1
C6H         CRP                     C6          H                                    6.50e-14 0.00e+00 0.00e+00              1
C7          CRP                     C6          C                                    1.30e-14 0.00e+00 0.00e+00              1
CH5N        CRP                     HCN         H2          H           H            1.83e-14 0.00e+00 0.00e+00              1
CH5N        CRP                     CH5N+       E-                                   1.46e-14 0.00e+00 0.00e+00              1
HC5N        CRP                     C4H         CN                                   2.28e-14 0.00e+00 0.00e+00              1
C6H2        CRP                     C6H         H                                    2.28e-14 0.00e+00 0.00e+00              1
C7H         CRP                     C7          H                                    6.50e-14 0.00e+00 0.00e+00              1
C7N         CRP                     C6          CN                                   2.28e-14 0.00e+00 0.00e+00              1
C8          CRP                     C7          C                                    1.30e-14 0.00e+00 0.00e+00              1
CH3C3N      CRP                     CH3         C3N                                  1.95e-14 0.00e+00 0.00e+00              1
HCOOCH3     CRP                     H2CO        H2CO                                 1.95e-14 0.00e+00 0.00e+00              1
C2H5OH      CRP                     C2H5OH+     E-                                   3.56e-14 0.00e+00 0.00e+00              1
